Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_genotype,Host,Instrument,isol_growth_condt,Isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sampling_point,SRA Study,Strain,TankReplicate,Treatment
SRR6660537,AMPLICON,601,36653912,PRJNA432116,SAMN08449412,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",19566244,JAMES COOK UNIVERSITY,19-April-2017,public,missing,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637739,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",CY_A,Cymbastela concentrica,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,CY.04,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CY_04,168h after disturbance,SRP131926,missing,A,Control
SRR6660539,AMPLICON,600,27524184,PRJNA432116,SAMN08449404,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",14822623,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637737,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",CO_B,Coscinoderma mathewsi,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,CO.14,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CO_14,before disturbance,SRP131926,missing,B,Control
SRR6660541,AMPLICON,600,21573965,PRJNA432116,SAMN08449406,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",11588640,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637735,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",CO_B,Coscinoderma mathewsi,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,CO.16,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CO_16,24h after disturbance,SRP131926,missing,B,Control
SRR6660543,AMPLICON,600,29169412,PRJNA432116,SAMN08449408,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",15998946,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637733,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",CO_F,Coscinoderma mathewsi,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,CO.18,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CO_18,before disturbance,SRP131926,missing,F,Pulse
SRR6660544,AMPLICON,601,43681320,PRJNA432116,SAMN08449409,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",24445154,JAMES COOK UNIVERSITY,19-April-2017,public,missing,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637732,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",CY_E,Cymbastela concentrica,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,CY.01,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CY_01,168h after disturbance,SRP131926,missing,E,Pulse
SRR6660546,AMPLICON,600,37580880,PRJNA432116,SAMN08449462,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",20885391,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637730,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IR_F,Ircinia ramosa,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IR.18,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IR_18,before disturbance,SRP131926,missing,F,Pulse
SRR6660549,AMPLICON,600,35578821,PRJNA432116,SAMN08449457,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",19252436,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637727,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IR_A,Ircinia ramosa,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IR.13,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IR_13,before disturbance,SRP131926,missing,A,Control
SRR6660551,AMPLICON,600,32269431,PRJNA432116,SAMN08449459,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17508017,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637725,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IR_C,Ircinia ramosa,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IR.15,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IR_15,before disturbance,SRP131926,missing,C,Control
SRR6660553,AMPLICON,600,32468991,PRJNA432116,SAMN08449453,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17369249,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637723,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IR_F,Ircinia ramosa,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IR.09,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IR_09,24h after disturbance,SRP131926,missing,F,Pulse
SRR6660556,AMPLICON,601,31560171,PRJNA432116,SAMN08449381,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",16615297,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637720,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",AQ_F,Amphimedon queenslandica,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,AQ.09,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_AQ_09,24h after disturbance,SRP131926,missing,F,Pulse
SRR6660558,AMPLICON,601,33184934,PRJNA432116,SAMN08449379,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17768761,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637718,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",AQ_E,Amphimedon queenslandica,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,AQ.07,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_AQ_07,24h after disturbance,SRP131926,missing,E,Pulse
SRR6660561,AMPLICON,601,30475081,PRJNA432116,SAMN08449378,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",16037226,JAMES COOK UNIVERSITY,19-April-2017,public,missing,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637715,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",AQ_F,Amphimedon queenslandica,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,AQ.06,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_AQ_06,168h after disturbance,SRP131926,missing,F,Pulse
SRR6660563,AMPLICON,601,35097312,PRJNA432116,SAMN08449376,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",18871254,JAMES COOK UNIVERSITY,19-April-2017,public,missing,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637713,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",AQ_A,Amphimedon queenslandica,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,AQ.04,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_AQ_04,168h after disturbance,SRP131926,missing,A,Control
